shipment_id,carrier,origin,destination,shipped,promised,delivered,weight_kg,cost_usd,status
SHP-00033,ORN,seattle,"Atlanta, GA",Aug 01 2024,20240807,2024-08-06,731.7,2542.04,Delivered
SHP-00034,COY,"Chicago, IL",Dallas,20240901,Sep 03 2024,Sep 12 2024,271.5,2969.18,Delivered
SHP-00035,ORN,"Seattle, WA",Atlanta,Jul 10 2024,20240716,20240724,129.9,810.01,DELIVERED
SHP-00036,ORN,"Los Angeles, CA",NYC,Aug 22 2024,Aug 27 2024,2024-08-25,450.8,2318.41,delivered
SHP-00037,NPT,atlanta,SEA,19/08/2024,2024-08-25,20240824,640.0,3588.00,delivered
SHP-00038,COY,"Chicago, IL","New York, NY",2024-08-27,20240830,2024-08-30,498.6,206.21,DELIVERED
SHP-00039,BLZ,los angeles,"Seattle, WA",20240928,Sep 30 2024,30/09/2024,712.5,54.55,Delivered
SHP-00040,MRD,ATL,SEA,09/09/2024,20240915,20240922,77.6,N/A,delivered
SHP-00041,BLZ,"Los Angeles, CA",NYC,07/08/2024,Aug 12 2024,10/08/2024,211.6,924.70,delivered
SHP-00042,BLZ,"Los Angeles, CA",JFK,15/09/2024,20240920,2024-09-27,640.3,777.21,delivered
SHP-00043,NPT,SEA,atlanta,20240922,Sep 28 2024,Sep 26 2024,401.0,480.38,DELIVERED
SHP-00044,BLZ,DFW,Chicago IL,09/08/2024,Aug 11 2024,-,177.8,1488.78,IN_TRANSIT
SHP-00045,ORN,los angeles,new york,Aug 02 2024,Aug 07 2024,2024-08-09,239.6,2880.71,delivered
SHP-00046,NPT,NYC,  LAX ,Jul 04 2024,20240709,20240709,123.8,2011.34,DELIVERED
SHP-00047,BLZ,"Dallas, TX",Chicago IL,28/08/2024,30/08/2024,20240828,62.9,183.76,Delivered
SHP-00048,NPT,"Atlanta, GA","Seattle, WA",13/07/2024,20240719,20240717,560.2,2712.73,Delivered
SHP-00049,COY,Chicago IL,"Dallas, TX",17/08/2024,19/08/2024,18/08/2024,142.2,3542.46,Delivered
SHP-00050,BLZ,JFK,  LAX ,22/09/2024,20240927,n/a,41.1,1210.03,In Transit
SHP-00051,ORN,los angeles,"New York, NY",2024-07-14,Jul 19 2024,NULL,131.5,855.71,IN_TRANSIT
SHP-00052,NPT,LAX,NYC,02/09/2024,2024-09-07,07/09/2024,361.0,1121.11,delivered
SHP-00053,n/a,"Los Angeles, CA",JFK,20240816,21/08/2024,20240820,106.6,407.43,Delivered
SHP-00054,ORN,"Los Angeles, CA","Seattle, WA",Jul 12 2024,Jul 14 2024,13/07/2024,471.4,3705.72,DELIVERED
SHP-00055,BLZ,Los Angeles,"New York, NY",31/08/2024,20240905,n/a,747.1,772.71,IN_TRANSIT
SHP-00056,BLZ,los angeles,JFK,20240910,20240915,Sep 13 2024,585.9,1267.44,DELIVERED
SHP-00057,NPT,"Chicago, IL",NYC,20240829,2024-09-01,2024-08-30,120.0,1750.87,DELIVERED
SHP-00058,NPT,"Dallas, TX",ORD,2024-09-04,2024-09-06,15/09/2024,122.8,3548.50,delivered
SHP-00059,MRD,dallas,Chicago IL,17/09/2024,Sep 19 2024,20240919,191.4,1088.33,Delivered
SHP-00060,BLZ,DFW,chicago,20240818,2024-08-20,Aug 19 2024,893.7,2537.62,delivered
SHP-00061,BLZ,new york,Los Angeles,Aug 26 2024,Aug 31 2024,Aug 29 2024,661.1,3001.12,DELIVERED
SHP-00062,BLZ,ATL,seattle,Sep 17 2024,2024-09-23,Sep 23 2024,483.0,1682.29,delivered
SHP-00063,BLZ,"Atlanta, GA",seattle,20240929,Oct 05 2024,2024-10-07,55.2,3292.48,delivered
SHP-00064,NPT,"Los Angeles, CA","New York, NY",06/07/2024,2024-07-11,2024-07-12,16.1,2226.15,DELIVERED
SHP-00065,BLZ,SEATTLE,ATL,20240904,20240910,20240915,77.0,2639.35,DELIVERED
SHP-00066,NPT,chicago,dallas,30/09/2024,2024-10-02,2024-10-11,156.9,3623.57,Delivered
SHP-00067,ORN,  LAX ,SEATTLE,2024-09-19,2024-09-21,20240919,860.3,973.62,delivered
SHP-00068,MRD,"New York, NY",LAX,2024-07-14,2024-07-19,,624.9,2553.82,IN_TRANSIT
SHP-00069,COY,"New York, NY","Los Angeles, CA",2024-09-30,2024-10-05,2024-10-05,854.6,3648.89,Delivered
SHP-00070,MRD,ATL,seattle,Aug 07 2024,Aug 13 2024,2024-08-12,645.6,1503.70,delivered
SHP-00071,MRD,  LAX ,JFK,25/08/2024,2024-08-30,Aug 30 2024,157.5,55.13,DELIVERED
SHP-00072,MRD,"Seattle, WA",atlanta,02/09/2024,08/09/2024,20240906,153.4,3757.91,DELIVERED
SHP-00073,BLZ,los angeles,"Seattle, WA",Jul 12 2024,Jul 14 2024,20240712,811.6,2029.70,delivered
SHP-00074,COY,  LAX , JFK,Aug 14 2024,19/08/2024,20240817,397.7,3105.07,Delivered
SHP-00075,MRD,seattle,"Atlanta, GA",20/07/2024,Jul 26 2024,24/07/2024,236.5,3822.13,DELIVERED
SHP-00076,BLZ,chicago,"Dallas, TX",20240825,20240827,2024-08-27,16.3,3424.59,delivered
SHP-00077,ORN,Los Angeles,SEATTLE,01/07/2024,03/07/2024,02/07/2024,579.2,1842.92,delivered
SHP-00078,NPT,SEA,Atlanta,02/08/2024,Aug 08 2024,n/a,352.9,1984.87,IN_TRANSIT
SHP-00079,ORN,ORD,new york,Sep 08 2024,20240911,20240910,193.0,2753.22,delivered
SHP-00080,NPT,  LAX ,seattle,Aug 21 2024,2024-08-23,25/08/2024,276.6,1631.89,Delivered
SHP-00081,COY,"New York, NY",los angeles,20240920,20240925,Oct 04 2024,685.1,2615.95,delivered
SHP-00082,MRD,"Seattle, WA",atlanta,Aug 31 2024,20240906,20240911,388.5,2567.34,Delivered
SHP-00083,ORN,DFW,ORD,18/07/2024,2024-07-20,Jul 19 2024,228.8,450.97,DELIVERED
SHP-00084,BLZ,seattle,"Atlanta, GA",20240917,23/09/2024,2024-09-21,669.0,1782.42,DELIVERED
SHP-00085,NPT,"Chicago, IL", JFK,2024-07-19,22/07/2024,Jul 22 2024,423.8,2272.15,Delivered
SHP-00086,ORN,DFW,chicago,2024-09-20,20240922,20240922,682.7,620.73,DELIVERED
SHP-00087,MRD,ATL,seattle,Aug 06 2024,Aug 12 2024,20240811,366.3,2039.81,delivered
SHP-00088,BLZ,ORD,Dallas,20240717,2024-07-19,20240717,273.9,74.53,DELIVERED
SHP-00089,COY,LAX,SEATTLE,17/09/2024,2024-09-19,21/09/2024,782.9,1715.21,DELIVERED
SHP-00090,-,ORD,Dallas,2024-08-08,20240810,2024-08-10,743.2,3106.42,delivered
SHP-00091,BLZ,SEA,Atlanta,30/08/2024,05/09/2024,20240828,387.2,86.84,Delivered
SHP-00092,BLZ,seattle,Atlanta,20240707,Jul 13 2024,2024-07-16,646.9,95.03,DELIVERED
SHP-00093,ORN,Chicago IL,NYC,16/09/2024,19/09/2024,2024-09-25,330.1,2597.31,Delivered
SHP-00094,ORN,dallas,ORD,07/08/2024,Aug 09 2024,Aug 04 2024,878.9,1022.14,delivered
SHP-00095,MRD,"Los Angeles, CA","Seattle, WA",Jul 21 2024,20240723,Jul 23 2024,483.4,2182.93,delivered
SHP-00096,ORN,LAX,SEATTLE,20240829,2024-08-31,Aug 30 2024,696.1,969.82,Delivered
SHP-00097,MRD,atlanta,SEATTLE,25/07/2024,31/07/2024,2024-08-05,830.7,1998.41,DELIVERED
SHP-00098,ORN,Los Angeles,"New York, NY",Jul 13 2024,Jul 18 2024,20240726,91.9,1815.10,Delivered
SHP-00099,MRD,NYC,  LAX ,2024-07-04,20240709,2024-07-18,637.2,405.33,delivered
SHP-00100,COY,"Seattle, WA",ATL,Aug 17 2024,Aug 23 2024,2024-08-21,813.0,3623.06,DELIVERED
SHP-00101,MRD,Dallas,ORD,20240701,Jul 03 2024,Jul 01 2024,235.0,540.37,delivered
SHP-00102,BLZ,atlanta,"Seattle, WA",20240705,2024-07-11,20240715,758.8,2532.06,delivered
SHP-00103,COY,  LAX ,"New York, NY",Jul 24 2024,20240729,20240727,225.8,150.41,Delivered
SHP-00104,COY, JFK,  LAX ,Jul 20 2024,2024-07-25,Jul 25 2024,680.6,3884.27,delivered
SHP-00105,NPT,Los Angeles,new york,07/08/2024,20240812,2024-08-13,711.7,3777.40,delivered
SHP-00106,COY,"Seattle, WA",ATL,2024-09-05,20240911,Sep 09 2024,161.9,591.31,Delivered
SHP-00107,MRD,los angeles,SEATTLE,2024-07-08,2024-07-10,20240709,819.6,1932.63,Delivered
SHP-00108,ORN,LAX,JFK,Aug 15 2024,20/08/2024,Aug 19 2024,702.3,3478.96,Delivered
SHP-00109,n/a,"Seattle, WA","Atlanta, GA",2024-07-03,Jul 09 2024,Jul 11 2024,502.0,3823.65,DELIVERED
SHP-00110,BLZ,"Atlanta, GA",SEA,Sep 28 2024,2024-10-04,20241003,446.8,2027.98,delivered
SHP-00111,NPT,Chicago IL, JFK,2024-08-20,20240823,2024-08-23,700.3,1387.27,DELIVERED
SHP-00112,COY,los angeles,"Seattle, WA",20240910,2024-09-12,Sep 21 2024,102.6,NULL,delivered
SHP-00113,BLZ,chicago, JFK,Sep 20 2024,2024-09-23,2024-09-24,,2105.20,delivered
SHP-00114,COY,Chicago IL,DFW,11/07/2024,Jul 13 2024,20240711,521.7,1132.74,Delivered
SHP-00115,ORN,atlanta,SEATTLE,20240909,Sep 15 2024,2024-09-14,221.8,925.24,Delivered
SHP-00116,MRD,"Dallas, TX",chicago,2024-09-10,2024-09-12,11/09/2024,498.3,2443.40,delivered
SHP-00117,NPT,atlanta,seattle,25/09/2024,01/10/2024,Oct 01 2024,740.0,2095.19,Delivered
SHP-00118,NPT,SEA,Atlanta,20240822,28/08/2024,20240828,765.7,1153.27,Delivered
SHP-00119,MRD,LAX,SEATTLE,20240906,20240908,Sep 07 2024,169.9,1250.93,DELIVERED
SHP-00120,BLZ,ATL,SEA,Aug 11 2024,20240817,Aug 24 2024,828.7,3105.25,Delivered
SHP-00121,BLZ,LAX, JFK,15/09/2024,2024-09-20,20240919,340.1,1633.53,Delivered
SHP-00122,COY,dallas,chicago,Sep 27 2024,2024-09-29,Sep 29 2024,463.8,486.52,delivered
SHP-00123,NPT,"Chicago, IL",DFW,2024-09-04,Sep 06 2024,03/09/2024,624.1,N/A,DELIVERED
SHP-00124,MRD,"Seattle, WA","Atlanta, GA",20240902,2024-09-08,,145.3,3050.01,IN_TRANSIT
SHP-00125,COY,"Los Angeles, CA",new york,Sep 26 2024,01/10/2024,NULL,243.6,NULL,in transit
SHP-00126,COY,ORD,"New York, NY",07/07/2024,Jul 10 2024,2024-07-10,809.5,3272.80,delivered
SHP-00127,BLZ,"Atlanta, GA",SEA,22/08/2024,28/08/2024,Sep 05 2024,344.2,80.14,delivered
SHP-00128,ORN,"New York, NY",  LAX ,24/08/2024,20240829,Aug 28 2024,313.3,1770.53,delivered
SHP-00129,COY,seattle,atlanta,10/09/2024,20240916,20240920,568.3,2343.93,delivered
SHP-00130,MRD,"Chicago, IL",Dallas,15/09/2024,17/09/2024,2024-09-15,-143.6,n/a,delivered
SHP-00131,BLZ,atlanta,seattle,11/08/2024,2024-08-17,Aug 19 2024,83.7,1189.84,Delivered
SHP-00132,MRD,SEATTLE,ATL,20240805,11/08/2024,20240817,320.1,2533.87,DELIVERED
SHP-00133,COY,SEATTLE,ATL,Aug 25 2024,31/08/2024,05/09/2024,515.3,2880.70,delivered
SHP-00134,ORN,ORD,"Dallas, TX",2024-07-06,2024-07-08,Jul 06 2024,193.1,3662.20,Delivered
SHP-00135,NPT,new york,Los Angeles,20240814,2024-08-19,18/08/2024,388.4,2071.93,DELIVERED
SHP-00136,COY,SEA,"Atlanta, GA",Sep 20 2024,Sep 26 2024,20241001,87.8,2564.20,DELIVERED
SHP-00137,MRD,"Chicago, IL","New York, NY",18/07/2024,Jul 21 2024,2024-07-20,495.7,3054.04,DELIVERED
SHP-00138,BLZ,ORD,dallas,Jul 02 2024,04/07/2024,2024-07-04,633.0,1819.67,DELIVERED
SHP-00139,ORN,chicago,JFK,20240901,20240904,20240910,174.9,2195.13,DELIVERED
SHP-00140,BLZ,Atlanta,"Seattle, WA",Jul 11 2024,Jul 17 2024,18/07/2024,866.0,2125.47,Delivered
SHP-00141,ORN,dallas,chicago,10/08/2024,2024-08-12,2024-08-12,101.0,3221.00,Delivered
SHP-00142,COY,NYC,  LAX ,2024-07-19,2024-07-24,n/a,434.1,912.19,In Transit
SHP-00143,COY,"Dallas, TX",Chicago IL,Jul 09 2024,2024-07-11,20240709,724.7,2717.28,Delivered
SHP-00144,BLZ,SEA,atlanta,Aug 21 2024,20240827,Aug 25 2024,435.3,2607.06,delivered
SHP-00145,ORN, JFK,  LAX ,Jul 19 2024,24/07/2024,20240723,359.7,501.30,DELIVERED
SHP-00146,NPT,"Atlanta, GA",SEATTLE,06/09/2024,2024-09-12,2024-09-10,767.1,2734.00,delivered
SHP-00147,ORN,"New York, NY","Los Angeles, CA",20240828,2024-09-02,01/09/2024,339.2,n/a,delivered
SHP-00148,ORN,"Seattle, WA",ATL,Aug 24 2024,30/08/2024,Aug 30 2024,672.2,1398.51,Delivered
SHP-00149,BLZ,chicago, JFK,Jul 06 2024,2024-07-09,2024-07-08,833.2,n/a,delivered
SHP-00150,MRD,NYC,"Los Angeles, CA",Aug 03 2024,Aug 08 2024,20240817,17.4,,DELIVERED
SHP-00151,NPT,  LAX ,"Seattle, WA",2024-08-30,Sep 01 2024,Aug 30 2024,NULL,1279.47,DELIVERED
SHP-00152,MRD,"Dallas, TX",ORD,10/08/2024,20240812,2024-08-20,569.6,2921.50,DELIVERED
SHP-00153,BLZ,"Seattle, WA",Atlanta,2024-09-28,Oct 04 2024,Oct 13 2024,714.8,990.25,DELIVERED
SHP-00154,BLZ,dallas,chicago,20240909,Sep 11 2024,10/09/2024,-,3986.70,DELIVERED
SHP-00155,MRD, JFK,Los Angeles,Jul 19 2024,2024-07-24,23/07/2024,527.1,366.13,DELIVERED
SHP-00156,MRD,new york,Los Angeles,2024-09-01,06/09/2024,Sep 06 2024,217.0,129.26,DELIVERED
SHP-00157,BLZ,Los Angeles,new york,17/07/2024,2024-07-22,22/07/2024,247.2,2587.82,DELIVERED
SHP-00158,COY,LAX,SEATTLE,2024-09-17,2024-09-19,Sep 18 2024,699.5,N/A,delivered
SHP-00159,COY,"Dallas, TX",ORD,Jul 21 2024,Jul 23 2024,20240726,313.0,2736.59,Delivered
SHP-00160,ORN,Chicago IL, JFK,Jul 05 2024,Jul 08 2024,Jul 07 2024,123.0,85.71,delivered
SHP-00161,BLZ, JFK,Los Angeles,04/07/2024,09/07/2024,Jul 09 2024,846.1,1494.16,DELIVERED
SHP-00162,COY,atlanta,SEATTLE,20240826,01/09/2024,Aug 31 2024,711.9,154.57,Delivered
SHP-00163,COY,LAX,seattle,2024-08-22,Aug 24 2024,20240823,221.4,1449.50,delivered
SHP-00164,COY,seattle,atlanta,2024-08-31,Sep 06 2024,2024-09-05,439.6,3569.33,DELIVERED
SHP-00165,COY,Dallas,"Chicago, IL",Jul 06 2024,2024-07-08,2024-07-07,141.0,3655.15,DELIVERED
SHP-00166,NPT,new york,LAX,23/08/2024,28/08/2024,2024-08-26,38.9,2043.88,DELIVERED
SHP-00167,ORN,NYC,LAX,16/07/2024,21/07/2024,21/07/2024,571.7,2204.81,DELIVERED
SHP-00168,BLZ,atlanta,seattle,2024-07-10,2024-07-16,19/07/2024,460.3,1662.08,Delivered
SHP-00169,MRD,Dallas,Chicago IL,Sep 27 2024,20240929,20240927,875.8,1578.96,delivered
SHP-00170,COY,"Chicago, IL",DFW,2024-09-27,2024-09-29,2024-09-28,-150.5,2256.15,Delivered
SHP-00171,COY,Dallas,chicago,2024-09-14,20240916,Sep 15 2024,553.5,2724.95,delivered
SHP-00172,ORN,"Chicago, IL","New York, NY",2024-08-14,Aug 17 2024,16/08/2024,477.1,3262.74,DELIVERED
SHP-00173,BLZ,  LAX ,"New York, NY",Aug 11 2024,20240816,2024-08-15,331.5,2668.87,Delivered
SHP-00174,ORN,"Chicago, IL",JFK,20/09/2024,Sep 23 2024,20240923,-55.6,988.64,delivered
SHP-00175,MRD,"Chicago, IL",dallas,20240930,2024-10-02,20241001,773.7,846.65,delivered
SHP-00176,NPT,Los Angeles,new york,Sep 30 2024,05/10/2024,20241004,765.5,561.42,Delivered
SHP-00177,NPT, JFK,  LAX ,20240711,2024-07-16,2024-07-15,535.5,1877.04,delivered
SHP-00178,-,"Seattle, WA",Atlanta,2024-09-04,Sep 10 2024,Sep 10 2024,693.5,3091.02,DELIVERED
SHP-00179,MRD,Chicago IL,JFK,20240708,11/07/2024,20240711,736.1,3494.13,DELIVERED
SHP-00180,MRD, JFK,  LAX ,20240810,2024-08-15,Aug 13 2024,277.5,3473.76,delivered
SHP-00181,COY,chicago,new york,23/09/2024,20240926,2024-09-24,657.7,83.61,DELIVERED
SHP-00182,NPT,"Atlanta, GA","Seattle, WA",2024-09-14,20/09/2024,20240919,773.0,541.63,DELIVERED
SHP-00183,COY,"Seattle, WA","Atlanta, GA",02/09/2024,2024-09-08,20240913,90.2,3147.80,DELIVERED
SHP-00184,NPT,los angeles,"New York, NY",Sep 28 2024,03/10/2024,Oct 06 2024,821.2,1331.35,DELIVERED
SHP-00185,BLZ,"Chicago, IL",Dallas,29/07/2024,31/07/2024,20240729,303.2,1635.43,DELIVERED
SHP-00186,BLZ,"Chicago, IL",Dallas,Sep 01 2024,Sep 03 2024,2024-09-02,-42.9,1908.30,DELIVERED
SHP-00187,NPT,Chicago IL,"Dallas, TX",Jul 07 2024,Jul 09 2024,08/07/2024,103.1,3336.50,DELIVERED
SHP-00188,NPT,"Los Angeles, CA",NYC,Jul 05 2024,2024-07-10,Jul 12 2024,656.2,2950.25,delivered
SHP-00189,BLZ,"Seattle, WA",Atlanta,Aug 03 2024,2024-08-09,N/A,423.7,697.91,in transit
SHP-00190,NPT,"Atlanta, GA","Seattle, WA",2024-07-13,19/07/2024,20/07/2024,757.8,3992.72,delivered
SHP-00191,BLZ,"Atlanta, GA",SEA,Aug 01 2024,2024-08-07,20240728,197.3,3102.78,DELIVERED
SHP-00192,ORN,"Los Angeles, CA","New York, NY",Jul 12 2024,17/07/2024,17/07/2024,182.4,-,delivered
SHP-00193,BLZ,new york,  LAX ,2024-09-16,Sep 21 2024,21/09/2024,724.0,1995.61,Delivered
SHP-00194,MRD,SEA,ATL,Aug 25 2024,31/08/2024,09/09/2024,182.2,1858.72,DELIVERED
SHP-00195,NPT,  LAX ,SEA,19/09/2024,Sep 21 2024,20240920,714.7,67.76,delivered
SHP-00196,MRD,SEATTLE,Atlanta,2024-08-12,Aug 18 2024,Aug 18 2024,83.7,1120.49,Delivered
SHP-00197,COY,los angeles,"Seattle, WA",24/07/2024,Jul 26 2024,2024-07-22,281.2,1308.05,Delivered
SHP-00198,MRD,atlanta,SEA,20240828,03/09/2024,Sep 01 2024,601.3,349.82,Delivered
SHP-00199,BLZ,LAX,JFK,20240922,20240927,Sep 26 2024,-187.6,3569.88,Delivered
SHP-00200,BLZ,Atlanta,"Seattle, WA",Sep 14 2024,20/09/2024,Sep 18 2024,696.7,151.93,Delivered
SHP-00201,COY,Dallas,ORD,Sep 27 2024,29/09/2024,28/09/2024,466.8,3515.71,DELIVERED
SHP-00202,NPT,"Dallas, TX",chicago,20240927,20240929,2024-09-28,615.0,1479.08,delivered
SHP-00203,BLZ,"Los Angeles, CA",seattle,20240920,20240922,2024-09-28,251.5,1482.83,delivered
SHP-00204,MRD,"Chicago, IL",DFW,2024-08-15,20240817,2024-08-16,837.4,705.39,DELIVERED
SHP-00205,MRD,"Dallas, TX","Chicago, IL",20240821,Aug 23 2024,,195.7,2743.53,In Transit
SHP-00206,ORN,SEA,atlanta,2024-07-20,20240726,Jul 30 2024,122.5,2831.23,Delivered
SHP-00207,ORN,ATL,seattle,2024-07-29,2024-08-04,2024-08-10,755.5,1334.31,DELIVERED
SHP-00208,BLZ,  LAX ,"New York, NY",Jul 06 2024,Jul 11 2024,Jul 10 2024,480.0,959.65,Delivered
SHP-00209,NPT,seattle,ATL,Jul 04 2024,2024-07-10,2024-07-09,363.1,2072.74,Delivered
SHP-00210,COY,Chicago IL,Dallas,20240710,12/07/2024,Jul 10 2024,556.0,491.93,DELIVERED
SHP-00211,BLZ,ATL,SEA,Aug 03 2024,09/08/2024,20240814,16.6,3461.07,Delivered
SHP-00212,MRD,Dallas,ORD,20240809,2024-08-11,Aug 14 2024,100.5,657.81,delivered
SHP-00213,NPT,"New York, NY",los angeles,Sep 06 2024,2024-09-11,09/09/2024,640.6,3783.98,Delivered
SHP-00214,NPT,LAX,JFK,2024-07-15,20240720,2024-07-29,187.5,2312.70,DELIVERED
SHP-00215,NPT,LAX,JFK,01/08/2024,06/08/2024,20240812,413.5,2362.87,Delivered
SHP-00216,COY,SEATTLE,Atlanta,21/08/2024,2024-08-27,20240825,541.2,n/a,DELIVERED
SHP-00217,BLZ,LAX,NYC,2024-08-01,20240806,n/a,847.3,3839.88,In Transit
SHP-00218,ORN,"New York, NY",Los Angeles,Sep 29 2024,2024-10-04,20241007,825.1,58.94,DELIVERED
SHP-00219,ORN,new york,  LAX ,20240929,2024-10-04,13/10/2024,26.5,3327.17,delivered
SHP-00220,BLZ,JFK,"Los Angeles, CA",2024-09-08,2024-09-13,Sep 11 2024,-19.6,1271.38,delivered
SHP-00221,ORN,"Atlanta, GA",SEA,2024-09-05,2024-09-11,2024-09-10,604.8,583.40,delivered
SHP-00222,BLZ,"Chicago, IL",Dallas,14/08/2024,20240816,Aug 12 2024,250.4,1036.50,delivered
SHP-00223,MRD,NYC,los angeles,Sep 07 2024,2024-09-12,n/a,869.3,686.40,IN_TRANSIT
SHP-00224,BLZ,new york,  LAX ,2024-09-21,26/09/2024,20241001,554.8,707.41,Delivered
SHP-00225,ORN,"Chicago, IL",DFW,2024-09-18,20240920,N/A,74.8,2931.91,IN_TRANSIT
SHP-00226,MRD,chicago,Dallas,20240827,29/08/2024,20240829,890.4,NULL,delivered
SHP-00227,BLZ,DFW,"Chicago, IL",Aug 05 2024,Aug 07 2024,Aug 03 2024,45.9,1951.50,DELIVERED
SHP-00228,MRD,dallas,chicago,Sep 08 2024,10/09/2024,2024-09-10,785.8,3641.49,DELIVERED
SHP-00229,MRD,LAX,SEA,2024-08-16,20240818,Aug 17 2024,215.2,166.10,delivered
SHP-00230,BLZ,"Seattle, WA",ATL,Jul 30 2024,Aug 05 2024,n/a,424.9,3749.52,IN_TRANSIT
SHP-00231,ORN,LAX,"Seattle, WA",15/07/2024,Jul 17 2024,24/07/2024,95.8,1935.53,delivered
SHP-00232,BLZ,ATL,SEATTLE,20240805,Aug 11 2024,10/08/2024,461.0,2528.81,Delivered
SHP-00233,MRD,SEA,atlanta,22/09/2024,28/09/2024,2024-10-05,540.2,3611.27,DELIVERED
SHP-00234,NPT,DFW,"Chicago, IL",2024-09-13,Sep 15 2024,20240915,213.6,1934.35,Delivered
SHP-00235,MRD,"Chicago, IL",new york,2024-07-26,20240729,28/07/2024,312.1,2691.24,DELIVERED
SHP-00236,NPT,"Chicago, IL",new york,30/08/2024,2024-09-02,Aug 31 2024,864.4,639.14,DELIVERED
SHP-00237,MRD, JFK,"Los Angeles, CA",13/09/2024,Sep 18 2024,20240917,89.9,1770.54,DELIVERED
SHP-00238,ORN, JFK,LAX,20240906,11/09/2024,20240910,594.0,2365.85,delivered
SHP-00239,COY,SEATTLE,atlanta,Sep 27 2024,2024-10-03,2024-10-01,563.7,1913.14,Delivered
SHP-00240,NPT,SEA,"Atlanta, GA",20240829,20240904,04/09/2024,810.6,968.36,Delivered
SHP-00113,BLZ,chicago, JFK,Sep 20 2024,2024-09-23,2024-09-24,,2105.20,delivered
SHP-00141,ORN,dallas,chicago,10/08/2024,2024-08-12,2024-08-12,101.0,3221.00,Delivered
SHP-00118,NPT,SEA,Atlanta,20240822,28/08/2024,20240828,765.7,1153.27,Delivered
