id,from_loc,to_loc,carrier_code,ship_date,promise_date,delivery_date,weight,cost,status
SHP-00272,"Dallas, TX",Chicago IL,BLZ,24/12/2024,20241226,26/12/2024,N/A,68.18,Delivered
SHP-00273,"Los Angeles, CA",seattle,ORN,20241112,14/11/2024,Nov 12 2024,894.2,883.29,Delivered
SHP-00274,Chicago IL,dallas,ORN,2024-12-18,20241220,2024-12-18,-119.8,3056.15,Delivered
SHP-00275,  LAX ,seattle,NPT,2024-11-05,20241107,Nov 05 2024,92.3,2000.73,Delivered
SHP-00276,  LAX ,seattle,MRD,20241213,20241215,2024-12-13,46.5,3352.90,Delivered
SHP-00277,  LAX ,SEATTLE,BLZ,2024-11-01,2024-11-03,2024-11-01,767.0,3578.27,DELIVERED
SHP-00278,seattle,atlanta,COY,18/10/2024,24/10/2024,24/10/2024,429.1,3154.15,delivered
SHP-00279,"New York, NY",LAX,NPT,20241220,20241225,Dec 23 2024,615.4,2991.67,DELIVERED
SHP-00280,NYC,  LAX ,COY,20241210,Dec 15 2024,Dec 15 2024,93.5,2015.06,Delivered
SHP-00281,"Chicago, IL",new york,NPT,2024-12-14,Dec 17 2024,16/12/2024,415.2,3829.24,delivered
SHP-00282,atlanta,"Seattle, WA",COY,09/12/2024,Dec 15 2024,,872.5,1014.65,IN_TRANSIT
SHP-00283, JFK,LAX,COY,Dec 27 2024,2025-01-01,20250101,83.4,1157.94,Delivered
SHP-00284,"Atlanta, GA",SEA,BLZ,Oct 23 2024,Oct 29 2024,20241029,367.5,2804.84,DELIVERED
SHP-00285,LAX,SEATTLE,BLZ,20241116,18/11/2024,Nov 18 2024,654.8,2227.49,delivered
SHP-00286,JFK,Los Angeles,N/A,20241021,20241026,20241024,491.5,109.72,DELIVERED
SHP-00287,ORD,"New York, NY",NPT,2024-12-15,20241218,17/12/2024,831.7,2435.94,DELIVERED
SHP-00288,"Chicago, IL","Dallas, TX",COY,Oct 10 2024,20241012,Oct 11 2024,838.7,469.35,Delivered
SHP-00289,SEA,atlanta,ORN,2024-12-20,2024-12-26,25/12/2024,462.0,713.97,Delivered
SHP-00290,los angeles,seattle,ORN,Oct 13 2024,15/10/2024,Oct 15 2024,597.0,1354.20,DELIVERED
SHP-00291,chicago,"Dallas, TX",NPT,2024-12-20,20241222,20241220,266.3,3738.87,delivered
SHP-00292,los angeles,"New York, NY",BLZ,2024-12-31,05/01/2025,Jan 05 2025,316.4,2797.12,delivered
SHP-00293,LAX,SEA,MRD,20241031,2024-11-02,02/11/2024,8.2,217.16,delivered
SHP-00294,"Chicago, IL",new york,ORN,22/12/2024,20241225,Dec 23 2024,118.1,1451.20,Delivered
SHP-00295,SEATTLE,atlanta,BLZ,20241006,12/10/2024,N/A,491.9,1207.64,in transit
SHP-00296,"Chicago, IL",NYC,COY,Nov 16 2024,Nov 19 2024,2024-11-25,249.1,290.44,delivered
SHP-00297,Atlanta,SEA,COY,Nov 13 2024,19/11/2024,Nov 19 2024,807.2,220.75,DELIVERED
SHP-00298,"Seattle, WA",atlanta,BLZ,2024-12-31,06/01/2025,2025-01-11,387.4,809.59,delivered
SHP-00299,los angeles,JFK,BLZ,Nov 20 2024,Nov 25 2024,24/11/2024,613.2,2517.04,DELIVERED
SHP-00300,ATL,SEA,MRD,Oct 30 2024,2024-11-05,20241103,114.5,NULL,delivered
SHP-00301,LAX,seattle,NPT,Nov 01 2024,20241103,20241103,423.7,103.78,Delivered
SHP-00302,  LAX ,SEA,MRD,Oct 21 2024,20241023,23/10/2024,-,316.54,DELIVERED
SHP-00303,seattle,atlanta,BLZ,13/10/2024,19/10/2024,20241027,325.2,1375.14,Delivered
SHP-00304,"Dallas, TX",chicago,MRD,2024-12-24,Dec 26 2024,24/12/2024,NULL,3829.74,delivered
SHP-00305,ORD,NYC,BLZ,22/10/2024,Oct 25 2024,20241024,609.8,2013.23,delivered
SHP-00306,seattle,atlanta,ORN,29/12/2024,20250104,2025-01-04,125.6,1269.26,Delivered
SHP-00307,Dallas,"Chicago, IL",NPT,2024-12-12,2024-12-14,2024-12-13,552.6,181.12,Delivered
SHP-00308,LAX,NYC,NPT,03/10/2024,08/10/2024,N/A,286.1,2555.53,in transit
SHP-00309,"Chicago, IL",Dallas,BLZ,Dec 25 2024,2024-12-27,2024-12-25,660.3,949.26,DELIVERED
SHP-00310,"Chicago, IL",new york,COY,Nov 18 2024,21/11/2024,20/11/2024,627.1,1614.57,DELIVERED
SHP-00311,Dallas,"Chicago, IL",NPT,21/11/2024,20241123,22/11/2024,427.3,2051.89,DELIVERED
SHP-00312,"New York, NY",los angeles,ORN,20241201,2024-12-06,Dec 04 2024,232.3,3331.32,Delivered
SHP-00313,NYC,"Los Angeles, CA",NPT,2024-12-26,31/12/2024,20241230,159.2,3592.63,delivered
SHP-00314,Atlanta,SEATTLE,COY,2024-10-21,2024-10-27,25/10/2024,402.7,3563.66,Delivered
SHP-00315,ATL,SEATTLE,MRD,2024-12-13,19/12/2024,Dec 25 2024,142.3,2225.20,Delivered
SHP-00316,"Chicago, IL",dallas,NPT,2024-11-02,Nov 04 2024,20241103,204.7,1008.46,Delivered
SHP-00317,ORD,new york,MRD,20241003,20241006,20241006,205.3,1700.78,Delivered
SHP-00318,"Chicago, IL",JFK,NPT,05/11/2024,20241108,07/11/2024,-127.3,2059.02,DELIVERED
SHP-00319,"Atlanta, GA","Seattle, WA",NPT,20241130,2024-12-06,Dec 05 2024,24.6,1794.42,delivered
SHP-00320,ORD,DFW,COY,2024-11-09,Nov 11 2024,2024-11-09,702.4,3670.59,Delivered
SHP-00321,Chicago IL,"Dallas, TX",BLZ,20241202,04/12/2024,Dec 03 2024,434.8,2862.48,delivered
SHP-00322,atlanta,"Seattle, WA",MRD,20/10/2024,20241026,24/10/2024,,-,DELIVERED
SHP-00323,Chicago IL,new york,BLZ,2024-12-30,20250102,n/a,118.3,1919.80,IN_TRANSIT
SHP-00324,chicago,DFW,COY,2024-11-23,20241125,Nov 23 2024,539.9,3459.93,DELIVERED
SHP-00325,Chicago IL,dallas,MRD,Oct 24 2024,Oct 26 2024,2024-10-26,89.2,2089.63,delivered
SHP-00326,  LAX ,SEATTLE,COY,Dec 05 2024,07/12/2024,N/A,897.8,2608.32,In Transit
SHP-00327,NYC,Los Angeles,COY,20241108,2024-11-13,13/11/2024,862.5,1598.68,Delivered
SHP-00328,Los Angeles,seattle,COY,20241205,2024-12-07,2024-12-06,220.4,2983.76,Delivered
SHP-00329,"Dallas, TX","Chicago, IL",ORN,2024-11-09,11/11/2024,11/11/2024,433.2,3466.07,Delivered
SHP-00330,Chicago IL,"Dallas, TX",BLZ,20241011,20241013,2024-10-12,399.3,2543.72,DELIVERED
SHP-00331,  LAX ,seattle,COY,14/12/2024,2024-12-16,Dec 16 2024,518.6,175.83,DELIVERED
SHP-00332,seattle,atlanta,NPT,20241121,27/11/2024,06/12/2024,85.5,3935.92,Delivered
SHP-00333,dallas,chicago,MRD,20241204,20241206,20241212,418.3,3050.59,delivered
SHP-00334,"Seattle, WA",atlanta,-,20241027,20241102,2024-11-10,570.4,735.08,DELIVERED
SHP-00335, JFK,  LAX ,BLZ,22/11/2024,Nov 27 2024,Nov 27 2024,569.2,1692.18,DELIVERED
SHP-00336,Dallas,Chicago IL,NPT,Oct 02 2024,2024-10-04,20241005,524.5,99.50,delivered
SHP-00337, JFK,Los Angeles,-,2024-11-21,2024-11-26,-,784.5,3947.11,In Transit
SHP-00338,chicago, JFK,MRD,18/11/2024,20241121,2024-11-22,390.3,3536.89,Delivered
SHP-00339,"Chicago, IL",DFW,BLZ,25/12/2024,Dec 27 2024,02/01/2025,660.8,3357.12,Delivered
SHP-00340,"New York, NY",  LAX ,MRD,01/11/2024,Nov 06 2024,,21.7,n/a,IN_TRANSIT
SHP-00341,JFK,Los Angeles,ORN,2024-10-20,20241025,24/10/2024,-174.1,3356.47,DELIVERED
SHP-00342,new york,"Los Angeles, CA",ORN,24/10/2024,Oct 29 2024,20241027,617.5,3402.90,Delivered
SHP-00343,"Seattle, WA",atlanta,BLZ,2024-11-01,Nov 07 2024,Nov 07 2024,92.9,1163.22,Delivered
SHP-00344,SEATTLE,ATL,BLZ,27/10/2024,02/11/2024,20241103,598.9,3500.63,delivered
SHP-00345,Dallas,ORD,COY,Nov 28 2024,20241130,Nov 28 2024,266.3,513.16,delivered
SHP-00346,NYC,los angeles,NPT,20241016,Oct 21 2024,20241019,97.3,2032.83,Delivered
SHP-00347,Dallas,"Chicago, IL",BLZ,Nov 18 2024,20241120,18/11/2024,262.6,1811.72,delivered
SHP-00348,SEA,atlanta,NPT,20241102,Nov 08 2024,08/11/2024,387.2,129.71,delivered
SHP-00349,Chicago IL,Dallas,ORN,Nov 18 2024,20241120,2024-11-19,207.1,1268.60,DELIVERED
SHP-00350,SEATTLE,atlanta,ORN,Oct 31 2024,20241106,Nov 04 2024,899.5,2938.75,DELIVERED
SHP-00351, JFK,  LAX ,NPT,2024-10-28,2024-11-02,2024-11-01,159.7,868.14,DELIVERED
SHP-00352,los angeles,SEA,NPT,20241029,Oct 31 2024,Nov 02 2024,403.9,970.08,DELIVERED
SHP-00353,SEA,"Atlanta, GA",ORN,Dec 16 2024,Dec 22 2024,Dec 21 2024,-139.7,2572.99,DELIVERED
SHP-00354,dallas,"Chicago, IL",COY,Nov 08 2024,20241110,Nov 08 2024,734.8,3943.31,delivered
SHP-00355,"Dallas, TX",Chicago IL,ORN,2024-12-03,20241205,03/12/2024,296.9,3120.98,Delivered
SHP-00356,"Atlanta, GA",seattle,COY,20241106,Nov 12 2024,2024-11-10,90.9,1426.49,Delivered
SHP-00357,new york,  LAX ,NPT,Nov 08 2024,Nov 13 2024,N/A,594.2,3886.26,IN_TRANSIT
SHP-00358,"Chicago, IL",dallas,COY,2024-11-06,Nov 08 2024,Nov 13 2024,112.0,759.80,delivered
SHP-00359,Los Angeles,"New York, NY",MRD,20241113,20241118,Nov 16 2024,821.4,1014.75,delivered
SHP-00360,Atlanta,seattle,MRD,2024-10-17,23/10/2024,N/A,385.6,3930.93,IN_TRANSIT
SHP-00361,new york,"Los Angeles, CA",COY,Dec 06 2024,20241211,2024-12-10,839.3,-,delivered
SHP-00362, JFK,LAX,COY,Dec 28 2024,02/01/2025,2024-12-31,175.4,2256.91,Delivered
SHP-00363,Los Angeles,SEA,MRD,29/11/2024,20241201,30/11/2024,75.9,3443.92,Delivered
SHP-00364,  LAX , JFK,NPT,Dec 17 2024,Dec 22 2024,NULL,372.4,2284.11,in transit
SHP-00365,Chicago IL,Dallas,BLZ,2024-10-17,2024-10-19,20241018,858.6,3372.77,Delivered
SHP-00366,los angeles,SEA,MRD,17/10/2024,2024-10-19,14/10/2024,835.0,1487.61,DELIVERED
SHP-00367,DFW,ORD,COY,20241030,20241101,31/10/2024,683.9,1241.41,Delivered
SHP-00368,Atlanta,SEA,COY,2024-11-12,Nov 18 2024,18/11/2024,n/a,2610.71,Delivered
SHP-00369,los angeles,SEATTLE,ORN,09/10/2024,20241011,Oct 09 2024,337.4,3888.96,DELIVERED
SHP-00370,los angeles,NYC,BLZ,Oct 31 2024,2024-11-05,05/11/2024,753.6,1002.20,delivered
SHP-00371,"Dallas, TX",ORD,NPT,20241015,17/10/2024,2024-10-15,653.5,1808.07,Delivered
SHP-00372,Los Angeles,"Seattle, WA",BLZ,20241122,Nov 24 2024,22/11/2024,517.8,1332.73,delivered
SHP-00373,new york,  LAX ,BLZ,11/11/2024,Nov 16 2024,2024-11-16,405.9,1322.05,DELIVERED
SHP-00374,chicago,Dallas,MRD,27/11/2024,29/11/2024,29/11/2024,402.4,3511.83,Delivered
SHP-00375,"Dallas, TX",chicago,MRD,07/10/2024,20241009,Oct 07 2024,744.2,557.69,delivered
SHP-00376,"Chicago, IL",DFW,NPT,Oct 01 2024,2024-10-03,01/10/2024,102.6,1222.46,delivered
SHP-00377,Los Angeles,JFK,BLZ,2024-12-29,03/01/2025,Jan 01 2025,779.8,358.63,Delivered
SHP-00378,los angeles, JFK,NPT,Nov 09 2024,2024-11-14,16/11/2024,857.0,3416.20,Delivered
SHP-00379,"Los Angeles, CA",NYC,ORN,Oct 11 2024,Oct 16 2024,15/10/2024,564.7,3469.03,Delivered
SHP-00380,Dallas,Chicago IL,ORN,05/12/2024,2024-12-07,Dec 07 2024,,122.93,delivered
SHP-00381, JFK,los angeles,COY,Dec 04 2024,09/12/2024,08/12/2024,406.9,1809.05,DELIVERED
SHP-00382, JFK,Los Angeles,BLZ,2024-12-07,Dec 12 2024,,141.0,1346.85,IN_TRANSIT
SHP-00383,los angeles,new york,BLZ,Oct 19 2024,24/10/2024,20241023,417.3,3257.69,delivered
SHP-00384,Los Angeles,seattle,ORN,20241227,Dec 29 2024,27/12/2024,797.0,3213.57,delivered
SHP-00385,ORD,"Dallas, TX",NPT,10/12/2024,2024-12-12,12/12/2024,-51.2,1796.27,Delivered
SHP-00386,SEATTLE,Atlanta,COY,Nov 18 2024,2024-11-24,24/11/2024,614.0,-,Delivered
SHP-00387,"Dallas, TX",ORD,ORN,Dec 23 2024,20241225,20250102,338.7,3976.85,Delivered
SHP-00388,Chicago IL, JFK,ORN,Dec 22 2024,Dec 25 2024,20250103,878.1,3826.77,Delivered
SHP-00389,ATL,SEATTLE,MRD,Oct 31 2024,Nov 06 2024,2024-11-10,18.6,1703.16,Delivered
SHP-00390,SEA,ATL,NPT,20241130,Dec 06 2024,11/12/2024,574.5,2052.30,DELIVERED
SHP-00391,NYC,Los Angeles,MRD,2024-11-12,Nov 17 2024,Nov 23 2024,818.2,,delivered
SHP-00392,Atlanta,seattle,COY,Dec 04 2024,Dec 10 2024,2024-12-16,72.2,2156.64,Delivered
SHP-00393,chicago,DFW,MRD,Oct 03 2024,2024-10-05,2024-10-05,216.8,2848.17,Delivered
SHP-00394, JFK,los angeles,COY,Nov 28 2024,20241203,Dec 03 2024,371.0,2257.71,DELIVERED
SHP-00395,chicago,NYC,ORN,13/11/2024,2024-11-16,Nov 12 2024,742.7,2201.89,DELIVERED
SHP-00396,"Dallas, TX",ORD,COY,20241003,05/10/2024,2024-10-10,577.3,956.70,DELIVERED
SHP-00397,SEATTLE,Atlanta,MRD,21/11/2024,2024-11-27,2024-11-30,410.4,3676.65,DELIVERED
SHP-00398,Los Angeles,SEATTLE,COY,20241130,02/12/2024,20241201,262.6,426.19,Delivered
SHP-00399,Atlanta,SEATTLE,ORN,27/11/2024,03/12/2024,02/12/2024,314.2,3937.21,DELIVERED
SHP-00400,Chicago IL,"New York, NY",BLZ,2024-10-01,04/10/2024,02/10/2024,681.3,1409.24,delivered
SHP-00401,LAX,JFK,ORN,Nov 01 2024,2024-11-06,2024-11-04,-128.8,3847.90,Delivered
SHP-00402,chicago, JFK,NPT,Oct 19 2024,20241022,,262.3,-,in transit
SHP-00403, JFK,Los Angeles,BLZ,16/10/2024,20241021,20/10/2024,112.7,1333.52,DELIVERED
SHP-00404,"Los Angeles, CA",new york,COY,Oct 11 2024,20241016,2024-10-20,314.5,2677.81,Delivered
SHP-00405,los angeles,SEA,COY,Oct 27 2024,20241029,27/10/2024,370.3,2289.67,DELIVERED
SHP-00406,Los Angeles,"New York, NY",ORN,20241027,20241101,04/11/2024,245.7,636.82,delivered
SHP-00407,chicago,DFW,MRD,28/10/2024,2024-10-30,2024-10-29,-,2951.40,Delivered
SHP-00408,chicago,"New York, NY",NULL,20241001,Oct 04 2024,Oct 02 2024,297.4,630.39,Delivered
SHP-00409,Atlanta,SEA,ORN,2024-12-01,Dec 07 2024,07/12/2024,558.3,2710.41,Delivered
SHP-00410,Chicago IL,dallas,COY,2024-10-10,12/10/2024,20241012,254.0,829.25,delivered
SHP-00411,"Seattle, WA","Atlanta, GA",COY,20241021,27/10/2024,01/11/2024,221.4,630.48,DELIVERED
SHP-00412,Los Angeles,JFK,ORN,2024-10-04,Oct 09 2024,07/10/2024,842.0,1713.25,delivered
SHP-00413,seattle,"Atlanta, GA",BLZ,27/12/2024,02/01/2025,20241231,398.4,963.39,delivered
SHP-00414,  LAX ,SEATTLE,BLZ,Nov 03 2024,2024-11-05,20241104,151.6,3344.62,delivered
SHP-00415,Chicago IL,DFW,NULL,2024-12-07,Dec 09 2024,Dec 07 2024,139.5,3127.04,delivered
SHP-00416,Atlanta,SEA,ORN,21/11/2024,Nov 27 2024,2024-11-27,649.7,614.38,Delivered
SHP-00417,Dallas,chicago,COY,26/10/2024,20241028,2024-10-28,852.8,1903.07,DELIVERED
SHP-00418,JFK,  LAX ,NPT,Nov 15 2024,Nov 20 2024,20/11/2024,821.4,549.22,DELIVERED
SHP-00419,Los Angeles, JFK,COY,Oct 14 2024,2024-10-19,Oct 17 2024,537.2,248.86,Delivered
SHP-00420,chicago,new york,ORN,Oct 02 2024,2024-10-05,Oct 03 2024,886.5,322.28,delivered
SHP-00421,atlanta,SEATTLE,NPT,27/11/2024,03/12/2024,09/12/2024,255.1,3939.52,DELIVERED
SHP-00422,JFK,  LAX ,BLZ,Oct 30 2024,2024-11-04,2024-11-03,738.8,543.89,Delivered
SHP-00423,new york,Los Angeles,COY,2024-11-21,Nov 26 2024,2024-11-19,116.3,3178.03,delivered
SHP-00424,los angeles,"New York, NY",ORN,2024-10-10,2024-10-15,Oct 14 2024,807.6,2270.94,Delivered
SHP-00425,JFK,los angeles,BLZ,Oct 29 2024,20241103,20241104,324.4,3857.09,Delivered
SHP-00426,Los Angeles,seattle,BLZ,20241217,2024-12-19,19/12/2024,23.1,2055.04,delivered
SHP-00427,SEATTLE,"Atlanta, GA",NPT,Dec 05 2024,Dec 11 2024,Dec 15 2024,127.2,1239.12,Delivered
SHP-00428,"Chicago, IL",Dallas,MRD,Nov 13 2024,15/11/2024,2024-11-14,614.2,2362.10,DELIVERED
SHP-00429,ORD, JFK,NPT,Dec 10 2024,Dec 13 2024,2024-12-12,-111.7,3750.38,delivered
SHP-00430,Atlanta,SEA,MRD,2024-10-21,2024-10-27,20241028,409.3,3350.05,Delivered
SHP-00431,"New York, NY","Los Angeles, CA",MRD,Nov 04 2024,2024-11-09,2024-11-08,61.9,2251.10,Delivered
SHP-00432,ORD,JFK,COY,20241230,Jan 02 2025,20250106,889.5,1318.85,DELIVERED
SHP-00433,Chicago IL,dallas,MRD,30/12/2024,01/01/2025,N/A,270.3,1485.42,in transit
SHP-00434,Chicago IL,NYC,BLZ,20/10/2024,23/10/2024,2024-10-22,627.5,559.15,delivered
SHP-00435,Los Angeles,JFK,MRD,Dec 26 2024,31/12/2024,20241231,770.4,1167.76,DELIVERED
SHP-00436,ATL,seattle,MRD,20241102,20241108,20241114,67.5,1463.51,Delivered
SHP-00437,Los Angeles, JFK,MRD,19/12/2024,2024-12-24,2024-12-23,326.5,344.44,Delivered
SHP-00438,Atlanta,SEATTLE,COY,Oct 09 2024,Oct 15 2024,Oct 13 2024,806.2,1339.98,DELIVERED
SHP-00439,"Dallas, TX",ORD,COY,Dec 04 2024,06/12/2024,06/12/2024,685.0,3876.05,DELIVERED
SHP-00440,seattle,Atlanta,COY,2024-11-13,2024-11-19,2024-11-27,419.4,2928.11,Delivered
SHP-00382, JFK,Los Angeles,BLZ,2024-12-07,Dec 12 2024,,141.0,1346.85,IN_TRANSIT
SHP-00311,Dallas,"Chicago, IL",NPT,21/11/2024,20241123,22/11/2024,427.3,2051.89,DELIVERED
SHP-00408,chicago,"New York, NY",NULL,20241001,Oct 04 2024,Oct 02 2024,297.4,630.39,Delivered
SHP-00375,"Dallas, TX",chicago,MRD,07/10/2024,20241009,Oct 07 2024,744.2,557.69,delivered
